startTime,pitch,freq,duration,noteStr
0.354104308,73.3955460751,567.177,0.400544217,C#5+39.6c
0.760453514,75.4716927214,639.441,0.191564626,D#5+47.2c
0.957823128,72.7577785034,546.663,0.197369615,C#5-24.2c
1.294512471,70.4880747612,479.493,0.313469388,A#4+48.8c
1.613786847,72.7338517853,545.908,0.26122449,C#5-26.6c
2.031746031,71.0605260759,495.613,0.708208617,B4+6.0c
3.047619047,71.5676659326,510.346,0.354104308,C5-43.2c
3.407528344,67.911202781,413.18,0.191564626,G#4-8.9c
3.709387754,66.5370507344,381.652,0.307664399,G4-46.3c
4.063492063,62.6149794198,304.284,0.278639455,D#4-38.5c
4.359546484,62.4078409414,300.665,0.301859411,D4+40.8c
5.027120181,66.3442834382,377.426,0.307664399,F#4+34.4c
5.352199546,68.2862657654,422.229,0.307664399,G#4+28.6c
5.665668933,66.5277491106,381.447,0.267029479,G4-47.2c
5.98494331,63.672149121,323.444,0.145124716,E4-32.8c
6.414512471,65.1404036598,352.072,0.12770975,F4+14.0c
6.687346938,68.2496530677,421.337,0.394739229,G#4+25.0c
7.087891156,64.3009629129,335.408,0.243809523,E4+30.1c
7.639365079,63.7909939687,325.672,0.21478458,E4-20.9c
8.010884353,71.7333633112,515.254,0.534058957,C5-26.7c
8.666848072,67.378240277,400.654,0.679183673,G4+37.8c
9.822040816,63.9258627901,328.219,0.400544217,E4-7.4c
10.361904761,67.2673107337,398.095,0.220589569,G4+26.7c
10.797278911,72.6652478264,543.749,0.493424036,C#5-33.5c
11.563537414,69.3186265577,448.173,0.220589569,A4+31.9c
11.789931972,67.7754177025,409.952,0.278639456,G#4-22.5c
12.074376416,64.1711801739,332.903,0.679183674,E4+17.1c
13.154104308,67.4316951075,401.893,0.261224489,G4+43.2c
13.421133786,69.5077205609,453.095,0.313469388,A#4-49.2c
14.019047618,62.7816741835,307.228,0.116099773,D#4-21.8c
14.152562357,63.3521818479,317.521,0.243809524,D#4+35.2c
14.52988662,64.7989466815,345.196,0.290249434,F4-20.1c
14.854965986,66.6052760368,383.159,0.313469387,G4-39.5c
15.174240362,64.5736070569,340.732,0.203174603,F4-42.6c
15.598004534,69.8258504629,461.498,0.168344672,A#4-17.4c
15.772154194,67.0173287762,392.388,0.191564626,G4+1.7c
15.969523809,64.5829026553,340.915,0.185759637,F4-41.7c
16.306213151,62.3835250432,300.243,0.354104308,D4+38.3c
16.689342403,64.3682422019,336.714,0.139319728,E4+36.8c
16.96217687,67.658383291,407.19,0.505034014,G#4-34.2c
17.676190475,67.8617317841,412.001,0.632743765,G#4-13.8c
18.738503401,64.7239070464,343.703,0.499229024,F4-27.6c
19.295782312,67.4346671646,401.962,0.232199547,G4+43.5c
19.702131518,72.6728556386,543.988,0.278639456,C#5-32.7c
20.067845804,69.1805982347,444.614,0.243809524,A4+18.1c
20.700589568,72.4018574115,535.539,0.545668935,C5+40.2c
21.350748298,67.2238116568,397.096,0.197369615,G4+22.4c
21.716462584,69.4744467111,452.225,0.278639456,A4+47.4c
22.000907029,67.5797191723,405.344,0.21478458,G#4-42.0c
22.34340136,64.6993594324,343.216,0.162539682,F4-30.1c
22.784580498,68.1083065099,417.911,0.110294785,G#4+10.8c
23.005170067,69.6940154949,457.997,0.249614513,A#4-30.6c
23.376689342,69.2828967939,447.249,0.243809523,A4+28.3c
23.986213151,72.9563096524,552.968,0.249614513,C#5-4.4c
24.357732425,67.9935083929,415.149,0.3076644,G#4-0.7c
24.671201813,69.6214765118,456.082,0.214784581,A#4-37.9c
25.025306122,67.8371325327,411.416,0.592108843,G#4-16.3c
26.006349206,64.4071713983,337.472,0.307664399,E4+40.7c
26.691337868,68.1023401519,417.767,0.104489796,G#4+10.2c
26.819047618,70.1848931778,471.169,0.162539683,A#4+18.5c
27.086077097,72.1473608714,527.724,0.557278911,C5+14.7c
27.875555555,69.8749981625,462.81,0.243809524,A#4-12.5c
28.125170067,67.9678429488,414.534,0.359909297,G#4-3.2c
28.490884353,64.3760556043,336.866,0.232199546,E4+37.6c
28.891428571,64.3958817005,337.252,0.249614512,E4+39.6c
29.593832199,67.7720389597,409.872,0.238004535,G#4-22.8c
29.860861677,69.733509336,459.043,0.301859411,A#4-26.7c
30.290430838,64.8810514482,346.837,0.597913832,F4-11.9c
30.928979591,68.1095492423,417.941,0.272834467,G#4+11.0c
31.381768707,72.6992819157,544.819,0.534058957,C#5-30.1c
31.921632652,74.3150325042,598.115,0.208979592,D5+31.5c
32.136417233,67.5196499001,403.94,0.319274376,G#4-48.0c
32.478911564,69.8939157724,463.316,0.342494331,A#4-10.6c
32.966530611,73.1399866078,558.866,0.476009071,C#5+14.0c
33.44834467,71.2562871554,501.249,0.267029479,B4+25.6c
34.551292516,67.9581093457,414.301,0.243809524,G#4-4.2c
34.893786847,72.914808112,551.644,0.423764173,C#5-8.5c
35.340770974,72.8720742945,550.284,0.226394558,C#5-12.8c
35.572970521,69.9764474179,465.53,0.220589569,A#4-2.4c
35.799365079,68.2368285327,421.025,0.365714285,G#4+23.7c
36.368253967,65.1714529637,352.704,0.3076644,F4+17.1c
36.681723355,68.1190738955,418.171,0.394739229,G#4+11.9c
37.082267573,65.2877844555,355.082,1.010068027,F4+28.8c
38.098140589,69.9188583917,463.984,0.383129251,A#4-8.1c
38.487074829,68.092184329,417.522,1.898231293,G#4+9.2c
40.460770974,67.9675088385,414.526,0.516643991,G#4-3.3c
