startTime,pitch,freq,duration,noteStr
0.673378684,59.5570109104,255.016,0.179954649,C4-44.3c
0.859138321,58.3724769944,238.151,0.510839002,A#3+37.2c
1.375782312,59.8549690497,259.443,0.400544218,C4-14.5c
1.782131518,57.2496142154,223.195,0.110294785,A3+25.0c
1.898231292,55.1264908844,197.435,0.168344671,G3+12.6c
2.12462585,55.3759067688,200.3,0.719818594,G3+37.6c
3.244988661,59.527794745,254.586,0.354104309,C4-47.2c
3.680362811,59.1210258162,248.674,0.772063492,B3+12.1c
4.458231292,56.9770853368,219.709,0.116099773,A3-2.3c
4.603356008,55.004352498,196.047,0.145124717,G3+0.4c
4.760090702,55.6994057005,204.078,0.789478458,G#3-30.1c
5.694693877,59.0715258982,247.964,0.354104308,B3+7.1c
6.054603174,57.3878265888,224.984,0.464399093,A3+38.8c
6.63510204,57.0776524288,220.989,0.330884354,A3+7.8c
8.190839001,59.3102555515,251.407,0.795283447,B3+31.0c
9.055782312,55.319547865,199.649,0.359909297,G3+32.0c
9.421496598,53.9133880824,184.074,0.162539682,F#3-8.7c
9.746575963,60.1490666823,263.888,0.21478458,C4+14.9c
9.967165532,58.4063196736,238.617,0.417959184,A#3+40.6c
10.390929704,59.6906391141,256.992,0.191564626,C4-30.9c
10.62893424,59.8267865363,259.021,0.255419501,C4-17.3c
10.890158729,57.8463955884,231.023,0.330884354,A#3-15.4c
11.337142856,59.4330130733,253.196,0.197369615,B3+43.3c
11.540317459,57.4145073937,225.331,0.162539683,A3+41.4c
11.708662131,55.4700342216,201.392,0.714013605,G3+47.0c
12.532970521,52.5558146764,170.191,0.603718821,F3-44.4c
13.22956916,55.7995565204,205.262,0.365714286,G#3-20.0c
14.587936507,59.6132658491,255.846,0.830113379,C4-38.7c
15.423854874,56.9700710112,219.62,0.121904762,A3-3.0c
15.551564625,53.7292004397,182.126,0.110294785,F#3-27.1c
15.754739228,55.596624172,202.87,0.615328798,G#3-40.3c
16.52680272,59.9133250843,260.319,0.359909297,C4-8.7c
17.008616779,60.1095274277,263.286,0.197369615,C4+10.9c
17.211791382,58.8478566727,244.781,0.528253969,B3-15.2c
17.745850339,57.1530082206,221.953,0.139319728,A3+15.3c
18.065124716,55.4327719987,200.959,0.708208617,G3+43.3c
18.808163264,57.5508049502,227.112,0.568888889,A#3-44.9c
19.574421768,57.7049362837,229.143,0.429569161,A#3-29.5c
20.851519274,62.5446849525,303.051,0.203174603,D#4-45.5c
21.060498865,59.0934348686,248.278,0.377324263,B3+9.3c
21.466848072,59.6098821667,255.796,0.342494331,C4-39.0c
21.815147391,57.7846869221,230.201,0.145124717,A#3-21.5c
21.966077097,55.221195617,198.518,0.139319728,G3+22.1c
22.175056689,55.6562573298,203.57,0.342494331,G#3-34.4c
22.563990929,57.5290662686,226.827,0.830113379,A#3-47.1c
23.399909296,58.8519582852,244.839,0.325079365,B3-14.8c
23.73079365,56.9761397508,219.697,0.499229025,A3-2.4c
24.235827664,54.8643510404,194.468,0.348299319,G3-13.6c
24.938231292,52.0723507395,165.504,0.470204081,E3+7.2c
25.512925169,55.4072532088,200.663,0.545668934,G3+40.7c
26.20371882,59.9655187306,261.105,0.249614513,C4-3.5c
26.459138321,57.3825932517,224.916,0.301859411,A3+38.3c
26.76680272,59.0024780614,246.977,0.296054422,B3+0.2c
27.068662131,57.4393059433,225.654,0.464399093,A3+43.9c
27.602721088,57.2610126623,223.342,0.185759637,A3+26.1c
27.794285713,55.481205858,201.522,1.399002268,G3+48.1c
30.93478458,56.205013939,210.126,0.464399093,G#3+20.5c
31.49786848,55.5556993608,202.391,0.232199546,G#3-44.4c
31.735873015,57.7125654111,229.244,0.325079365,A#3-28.7c
32.130612244,60.0944630069,263.057,0.203174603,C4+9.4c
32.339591836,59.0073841544,247.047,0.580498866,B3+0.7c
32.983945577,58.2786650654,236.864,0.470204082,A#3+27.9c
33.558639455,56.1177904434,209.07,0.278639456,G#3+11.8c
33.860498865,56.1311998907,209.232,0.330884354,G#3+13.1c
34.197188208,53.0669808201,175.291,0.313469388,F3+6.7c
34.661587301,56.205013939,210.126,0.313469388,G#3+20.5c
35.09696145,58.6816335038,242.442,0.400544218,B3-31.8c
35.869024942,58.5857529419,241.103,0.377324264,B3-41.4c
36.252154194,52.2342502031,167.059,0.110294785,E3+23.4c
36.368253967,55.6943150334,204.018,0.214784581,G#3-30.6c
36.612063491,52.5457411684,170.092,0.406349207,F3-45.4c
37.024217686,55.6719832646,203.755,0.377324263,G#3-32.8c
37.407346938,53.227221337,176.921,0.133514739,F3+22.7c
37.715011337,60.1118286957,263.321,0.26122449,C4+11.2c
37.982040816,54.2502713902,187.691,0.139319727,F#3+25.0c
38.127165532,56.0799064847,208.613,0.423764172,G#3+8.0c
38.556734693,57.6135792736,227.937,0.179954649,A#3-38.6c
38.800544217,57.5353237044,226.909,0.156734694,A#3-46.5c
38.992108843,52.7020830608,171.635,0.104489796,F3-29.8c
39.473922902,51.0852043842,156.331,0.261224489,D#3+8.5c
39.74095238,52.5619169813,170.251,0.127709751,F3-43.8c
40.141496598,50.5259943961,151.362,0.359909297,D#3-47.4c
40.623310657,56.2283969809,210.41,0.534058957,G#3+22.8c
41.528888888,50.5666648201,151.718,0.156734694,D#3-43.3c
41.691428571,53.1690967418,176.328,0.226394557,F3+16.9c
41.923628117,58.3526199291,237.878,0.243809524,A#3+35.3c
42.17324263,55.5857829646,202.743,0.145124716,G#3-41.4c
42.434467119,55.893679616,206.381,0.307664399,G#3-10.6c
42.747936507,53.2847613261,177.51,0.127709751,F3+28.5c
43.247165532,56.298930828,211.269,0.278639456,G#3+29.9c
43.607074829,57.1197482796,221.527,0.296054422,A3+12.0c
43.937959183,54.9736827866,195.7,0.249614512,G3-2.6c
44.292063491,55.8348600694,205.681,0.110294785,G#3-16.5c
44.535873015,50.3495293012,149.827,0.284444444,D3+35.0c
44.942222221,51.5235702672,160.34,0.13351474,E3-47.6c
45.116371881,52.0150377198,164.957,0.284444445,E3+1.5c
45.522721088,50.7627301759,153.446,0.255419501,D#3-23.7c
45.85941043,56.6143936609,215.154,0.354104308,A3-38.6c
46.538594103,55.9533867858,207.094,0.313469388,G#3-4.7c
46.921723355,58.1583809123,235.224,0.417959184,A#3+15.8c
47.345487528,61.0678445082,278.271,0.110294784,C#4+6.8c
47.542857142,53.0531484153,175.151,0.272834467,F3+5.3c
48.448435373,57.9982261469,233.058,0.104489796,A#3-0.2c
48.558730158,56.1304551938,209.223,0.319274376,G#3+13.0c
48.970884353,52.6246458634,170.869,0.243809524,F3-37.5c
49.255328797,59.7478051241,257.842,0.574693878,C4-25.2c
49.946122448,52.744395532,172.055,0.226394558,F3-25.6c
50.259591836,56.1588964004,209.567,0.354104308,G#3+15.9c
50.619501133,54.6140845148,191.677,0.104489796,G3-38.6c
50.985215419,52.7962382506,172.571,0.417959183,F3-20.4c
51.565714285,55.6026820471,202.941,0.26122449,G#3-39.7c
52.001088435,59.7523702606,257.91,0.238004535,C4-24.8c
52.244897958,57.9645430211,232.605,0.26122449,A#3-3.5c
52.511927437,60.0836664523,262.893,0.156734694,C4+8.4c
52.674467119,58.4808160317,239.646,0.139319728,A#3+48.1c
52.860226757,50.4661863821,150.84,0.446984127,D3+46.6c
53.417505668,52.2318665467,167.036,0.220589569,E3+23.2c
53.783219954,50.0268163955,147.06,0.278639456,D3+2.7c
54.613333333,57.9249019399,232.073,0.30185941,A#3-7.5c
54.92680272,55.152426586,197.731,0.168344671,G3+15.2c
55.211247165,53.7134137919,181.96,0.249614512,F#3-28.7c
55.507301586,50.3982223823,150.249,0.354104309,D3+39.8c
56.041360543,56.0515013563,208.271,0.446984127,G#3+5.1c
56.929523809,56.3342947247,211.701,0.47600907,G#3+33.4c
57.428752834,56.0831427077,208.652,0.238004535,G#3+8.3c
57.759637187,50.6056460692,152.06,0.539863946,D#3-39.4c
58.305306122,47.2681297766,125.398,0.203174603,B2+26.8c
58.566530611,51.1219316007,156.663,0.272834468,D#3+12.2c
59.013514738,49.9832040083,146.69,0.162539683,D3-1.7c
59.18185941,52.7310077683,171.922,0.133514739,F3-26.9c
59.704308389,54.9240721157,195.14,0.156734694,G3-7.6c
60.09324263,52.7323168033,171.935,0.342494331,F3-26.8c
60.528616779,55.7342365818,204.489,0.214784581,G#3-26.6c
61.109115645,60.5596352774,270.221,0.168344672,C#4-44.0c
61.283265305,58.3174323071,237.395,0.127709751,A#3+31.7c
61.416780045,60.3940001808,267.648,0.145124716,C4+39.4c
61.672199546,58.5682955889,240.86,0.226394557,B3-43.2c
61.904399092,55.9497081475,207.05,0.203174603,G#3-5.0c
62.206258503,51.5672440708,160.745,0.278639455,E3-43.3c
62.757732425,59.7952104134,258.549,0.464399093,C4-20.5c
63.285986394,57.9933970525,232.993,0.435374149,A#3-0.7c
63.849070294,55.6899019108,203.966,0.441179138,G#3-31.0c
64.38893424,53.4076977547,178.775,0.12770975,F3+40.8c
64.760453514,55.6961817852,204.04,0.116099773,G#3-30.4c
64.882358276,57.6774132852,228.779,0.17414966,A#3-32.3c
65.137777777,59.8729764785,259.713,0.267029478,C4-12.7c
65.42802721,55.0413136861,196.466,0.145124717,G3+4.1c
65.648616779,57.3902887883,225.016,0.150929705,A3+39.0c
65.933061224,53.7610152641,182.461,0.139319728,F#3-23.9c
66.171065759,53.6100653438,180.877,0.249614512,F#3-39.0c
66.449705215,50.789561406,153.684,0.191564625,D#3-21.0c
67.395918367,52.6997629599,171.612,0.377324263,F3-30.0c
68.104126983,53.0903719439,175.528,0.26122449,F3+9.0c
68.382766439,50.5698595683,151.746,0.267029479,D#3-43.0c
68.655600906,48.0659428773,131.312,0.145124717,C3+6.6c
68.905215419,53.2276127466,176.925,0.191564626,F3+22.8c
69.259319727,54.9369313818,195.285,0.17414966,G3-6.3c
69.485714285,49.5939987504,143.429,0.104489796,D3-40.6c
69.688888888,50.7740088679,153.546,0.127709751,D#3-22.6c
69.839818593,48.4937127681,134.597,0.13351474,C3+49.4c
70.240362811,47.8177611089,129.443,0.21478458,C3-18.2c
70.536417233,52.6206939567,170.83,0.121904762,F3-37.9c
71.099501133,47.4572010079,126.775,0.203174603,B2+45.7c
71.354920634,50.9696483518,155.291,0.267029479,D#3-3.0c
71.685804988,52.8064678783,172.673,0.510839002,F3-19.4c
72.353378684,55.3086184663,199.523,0.26122449,G3+30.9c
72.620408162,55.9672582516,207.26,0.22058957,G#3-3.3c
72.968707482,53.1742996374,176.381,0.168344671,F3+17.4c
73.351836734,54.0261632976,185.277,0.133514739,F#3+2.6c
73.491156462,51.4047171861,159.243,0.104489796,D#3+40.5c
73.920725623,50.4493065431,150.693,1.265487528,D3+44.9c
76.196281178,59.3592158619,252.119,0.853333334,B3+35.9c
77.130884353,57.7431991177,229.65,0.714013605,A#3-25.7c
77.850702947,55.4774254958,201.478,0.139319728,G3+47.7c
78.065487528,55.6807325985,203.858,0.51664399,G#3-31.9c
78.675011337,58.1897058912,235.65,0.133514739,A#3+19.0c
78.814331065,59.299165249,251.246,0.667573696,B3+29.9c
79.48770975,62.5766464514,303.611,0.226394558,D#4-42.3c
79.725714285,57.4684353022,226.034,1.329342404,A3+46.8c
81.060861677,59.0815069887,248.107,0.278639456,B3+8.1c
81.345306122,57.7217008326,229.365,0.296054421,A#3-27.8c
82.361179137,55.5286478869,202.075,1.120362812,G#3-47.1c
83.487346938,58.86143071,244.973,0.313469388,B3-13.9c
83.806621314,57.3292461925,224.224,0.284444445,A3+32.9c
84.096870747,59.4397125517,253.294,0.203174604,B3+44.0c
84.305850339,57.3972118477,225.106,0.52244898,A3+39.7c
84.834104308,48.1636248428,132.055,0.133514739,C3+16.4c
84.973424035,50.7217266654,153.083,1.236462585,D#3-27.8c
86.38403628,53.5299596686,180.042,0.232199547,F#3-47.0c
86.622040816,55.5401242437,202.209,0.220589569,G#3-46.0c
86.848435373,52.6201872368,170.825,0.52244898,F3-38.0c
87.423129251,50.9403034091,155.028,0.110294784,D#3-6.0c
87.539229024,53.0200045141,174.816,0.574693878,F3+2.0c
88.601541949,55.5348152332,202.147,2.403265306,G#3-46.5c
