0.01	[0.24880862804113368, 0.4631719755873254, 0.40064620355411956, 0.7458266020463112, 0.1804292469989087, 0.33587971383533405, 0.5057889068389876, 0.34518039849219173]
0.02	[0.2516617977052373, 0.46716626444811377, 0.40010770059235323, 0.7427302100161551, 0.18355876721635475, 0.3407448582545859, 0.49636510500807757, 0.34262250942380185]
0.03	[0.25662542278546047, 0.4730059511067346, 0.4034733441033926, 0.7436725901992461, 0.18814740410571912, 0.3467888756356331, 0.4892299407646742, 0.3401992460958535]
0.04	[0.2607189259419662, 0.4782156777825899, 0.405223478729133, 0.7432687129779214, 0.19218490614225514, 0.35250925807687394, 0.48209477652127086, 0.33804523424878835]
0.05	[0.2648757437871894, 0.483199159957998, 0.40751211631663975, 0.743403338718363, 0.19620171117448795, 0.35792066372828624, 0.4750942380183091, 0.3358912224017232]
0.06	[0.268570923240184, 0.48717721966749195, 0.4088583737210555, 0.7416532040926225, 0.19996049512773242, 0.36272056887016063, 0.4682283252557889, 0.33279483037156704]
0.07	[0.27211796246648795, 0.49133154602323503, 0.40993537964458804, 0.7401723209477652, 0.20365168539325842, 0.3677100053504548, 0.4613624124932687, 0.33023694130317716]
0.08	[0.27631341397364145, 0.49521574291388337, 0.4120893914916532, 0.7385568120624664, 0.20783541553503532, 0.3724877783813145, 0.45301561658589123, 0.3264674205708131]
0.09	[0.27952289902576705, 0.49813347901302013, 0.41330102315562733, 0.7365374259558427, 0.21117072499656073, 0.3763241161095061, 0.44749596122778673, 0.3232364028002154]
0.1	[0.2834956809410035, 0.5020216871898547, 0.41532040926225094, 0.7354604200323102, 0.21519252232142858, 0.38106863839285715, 0.4413031771674744, 0.3201400107700592]
0.11	[0.2868795476664967, 0.5046113917597441, 0.4166666666666667, 0.7329025309639203, 0.2187433740900417, 0.38476217400523005, 0.43578352180936997, 0.31623586429725364]
0.12	[0.29043551323344075, 0.5088923120011203, 0.41882067851373184, 0.7338449111470113, 0.22229367631296892, 0.3894962486602358, 0.4282444803446419, 0.3150242326332795]
0.13	[0.29337598795634173, 0.5113850207000376, 0.41976305869682284, 0.7316908992999461, 0.22548452415389067, 0.3930431009545849, 0.4227248249865374, 0.31192784060312334]
0.14	[0.29570988385873426, 0.5132969898080114, 0.4198976844372644, 0.7288637587506731, 0.22821394600131703, 0.39613667959318066, 0.4184168012924071, 0.3089660743134087]
0.15	[0.29903506257762497, 0.5161937517913442, 0.4213785675821217, 0.7273828756058158, 0.23174885236191323, 0.4000444247001333, 0.41330102315562733, 0.3060043080236941]
0.16	[0.2997500480676793, 0.5173043645452796, 0.41976305869682284, 0.7244211093161013, 0.23310406698564592, 0.4022876794258373, 0.41087775982767905, 0.3046580506192784]
0.17	[0.3026959004888437, 0.5207879579884808, 0.420974690360797, 0.7242864835756596, 0.23630318144033854, 0.40655935917781305, 0.4058966074313409, 0.3033117932148627]
0.18	[0.3054350475262003, 0.5231294174993907, 0.4217824448034464, 0.7224017232094776, 0.2393978757545656, 0.4100252158630702, 0.40131933225632743, 0.30061927840603125]
0.19	[0.3057912028637278, 0.5235129701368116, 0.41976305869682284, 0.7186322024771137, 0.24049363671423063, 0.4117238719629773, 0.3982229402261712, 0.2988691437802908]
0.2	[0.30643089993085054, 0.5242517040403043, 0.4176090468497577, 0.7144588045234249, 0.24200343267280386, 0.41402714932126694, 0.39606892837910607, 0.2968497576736672]
0.21	[0.3077305246422894, 0.5257352941176471, 0.4169359181475498, 0.7123047926763597, 0.24385826771653543, 0.41661417322834643, 0.3910877759827679, 0.2953688745288099]
